ID,Number,Gloss,Concepticon_ID,Concepticon_Gloss
1,1,GUEST OR STRANGER,2908,GUEST OR STRANGER
2,2,AGE,1789,AGE
3,3,ANIMAL,619,ANIMAL
4,4,ANSWER,1275,ANSWER
5,5,ARMPIT,1886,ARMPIT
6,6,ARRIVE,1387,ARRIVE
7,7,ASH,646,ASH
8,8,BACK,1291,BACK
9,9,BAD,1292,BAD
10,10,BARK,1204,BARK
11,11,BEARD,678,BEARD
12,12,BEAUTIFUL,1427,BEAUTIFUL
13,13,BEGIN,1806,BEGIN
14,14,BELLY,1251,BELLY
15,15,BESIDE,1816,BESIDE
16,16,BETRAY,1902,BETRAY
17,17,BIG,1202,BIG
18,18,BIRD,937,BIRD
19,19,BITE,1403,BITE
20,20,BITTER,887,BITTER
21,21,BLACKSMITH,1001,BLACKSMITH
22,22,BLANKET,806,BLANKET
23,23,BLINK,1655,BLINK
24,24,BLOOD,946,BLOOD
25,25,BODY,1480,BODY
26,26,BONE,1394,BONE
27,27,BREAKFAST,1322,BREAKFAST
28,28,BREAST,1402,BREAST
29,29,BREATHE,1407,BREATHE
30,30,BROOM,245,BROOM
31,31,BUILD,1840,BUILD
32,32,BURN (SOMETHING),141,BURN (SOMETHING)
33,33,BURY,1719,BURY
34,34,BUY,1869,BUY
35,35,CALL,1084,CALL
36,36,CAMEL,1871,CAMEL
37,37,CARRY ON HEAD,414,CARRY ON HEAD
38,38,CARVE,228,CARVE
39,39,CASSAVA,925,CASSAVA
40,40,CAT,1208,CAT
41,41,CAVE,1155,CAVE
42,42,CHEEK,1730,CHEEK
43,43,CHEST,1592,CHEST
44,44,CHICKEN,1318,CHICKEN
45,45,CHIEFTAIN,301,CHIEFTAIN
46,46,CHILD,2099,CHILD
47,47,CHIN,1510,CHIN
48,48,CLOUD,1489,CLOUD
49,49,COLD,1287,COLD
50,50,COME,1446,COME
51,51,COME BACK,581,COME BACK
52,52,COTTON,1850,COTTON
53,53,COUNT,1420,COUNT
54,54,COUNTRY,1300,COUNTRY
55,55,COW,1007,COW
56,56,CRY,1839,CRY
57,57,DEW,1977,DEW
58,58,DIE,1494,DIE
59,59,DIG,1418,DIG
60,60,DISEASE,1986,DISEASE
61,61,DIVIDE,1119,DIVIDE
62,62,DOG,2009,DOG
63,63,DONKEY,1862,DONKEY
64,64,DOOR,1567,DOOR
65,65,DOVE,1853,DOVE
66,66,DRINK,1401,DRINK
67,67,DRIP (FALL IN GLOBULES),808,DRIP (FALL IN GLOBULES)
68,68,DRY,1398,DRY
69,69,DUST,2,DUST
70,70,EAR,1247,EAR
71,71,EAT,1336,EAT
72,72,EGG,744,EGG
73,73,EIGHT,1705,EIGHT
74,74,ELBOW,981,ELBOW
75,75,ELEPHANT,1290,ELEPHANT
76,76,EMPTY,1624,EMPTY
77,77,ENTER,749,ENTER
78,78,EYE,1248,EYE
79,79,FACE,1560,FACE
80,80,FALL,1280,FALL
81,81,FAR,1406,FAR
82,82,FAST,1631,FAST
83,83,FAT (OBESE),1279,FAT (OBESE)
84,84,FAT (ORGANIC SUBSTANCE),323,FAT (ORGANIC SUBSTANCE)
85,85,FATHER,1217,FATHER
86,86,FEAR (BE AFRAID),1419,FEAR (BE AFRAID)
87,87,FIGHT,1423,FIGHT
88,88,FIND,719,FIND
89,89,FINGER,1303,FINGER
90,90,FIRE,221,FIRE
91,91,FIREWOOD,10,FIREWOOD
92,92,FISH,227,FISH
93,93,FIVE,493,FIVE
94,94,FLOWER,239,FLOWER
95,95,FLY (INSECT),1504,FLY (INSECT)
96,96,FLY (MOVE THROUGH AIR),1441,FLY (MOVE THROUGH AIR)
97,97,FOAM,1768,FOAM
98,98,FOLD,1470,FOLD
99,99,FOOD,256,FOOD
100,100,FOOT OR LEG,2098,FOOT OR LEG
101,101,FOREHEAD,123,FOREHEAD
102,102,FORGET,1523,FORGET
103,103,FORGIVE,1528,FORGIVE
104,104,FOUR,1500,FOUR
105,105,FRIEND,1325,FRIEND
106,106,FULL,1429,FULL
107,107,GET,694,GET
108,108,GIVE,1447,GIVE
109,109,GIVE BIRTH,1195,GIVE BIRTH
110,110,GO,695,GO
111,111,GO DOWN (DESCEND),2014,GO DOWN (DESCEND)
112,112,GO OUT,1107,GO OUT
113,113,GO UP (ASCEND),705,GO UP (ASCEND)
114,114,GOAT,1502,GOAT
115,115,GOD,1944,GOD
116,116,GOLD,1369,GOLD
117,117,GOOD,1035,GOOD
118,118,GRANDFATHER,1383,GRANDFATHER
119,119,GRASS,606,GRASS
120,120,HAIR,1040,HAIR
121,121,HAND,1277,HAND
122,122,HANG UP,357,HANG UP
123,123,HEAD,1256,HEAD
124,124,HEAVY,1210,HEAVY
125,125,HELP,1897,HELP
126,126,HIDE (CONCEAL),602,HIDE (CONCEAL)
127,127,HIP,1745,HIP
128,128,HONEY,942,HONEY
129,129,HORN (ANATOMY),1393,HORN (ANATOMY)
130,130,HORSE,615,HORSE
131,131,HOST,1545,HOST
132,132,HOT,1286,HOT
133,133,HUNDRED,1634,HUNDRED
134,134,HUNT,1435,HUNT
135,135,HUSBAND,1200,HUSBAND
136,136,INJURE,44,INJURE
137,137,IRON,621,IRON
138,138,JAW,798,JAW
139,139,JOINT,999,JOINT
140,140,KILL,1417,KILL
141,141,KNEE,1371,KNEE
142,142,KNEEL,66,KNEEL
143,143,KNIFE,1352,KNIFE
144,144,LADDER,1464,LADDER
145,145,LAUGH,1355,LAUGH
146,146,LEAF,628,LEAF
147,147,LEAVE,1752,LEAVE
148,148,LEFT,244,LEFT
149,149,LICK,319,LICK
150,150,LIE DOWN,215,LIE DOWN
151,151,LIFT,501,LIFT
152,152,LIGHT (WEIGHT),1052,LIGHT (WEIGHT)
153,153,LIMP,366,LIMP
154,154,LION,1386,LION
155,155,LOOK,1819,LOOK
156,156,LOOK FOR,1468,LOOK FOR
157,157,LOUSE,1392,LOUSE
158,158,LUNG,688,LUNG
159,159,MAIZE,506,MAIZE
160,160,MAN,1554,MAN
161,161,MARKET,633,MARKET
162,162,MARROW,1835,MARROW
163,163,MAT,195,MAT
164,164,MEAL,1526,MEAL
165,165,MEAT,634,MEAT
166,166,MEDICINE,1372,MEDICINE
167,167,MILK,635,MILK
168,168,MILLET,931,MILLET
169,169,MONEY,1559,MONEY
170,170,MOON,1313,MOON
171,171,MOSQUE,1603,MOSQUE
172,172,MOTHER,1216,MOTHER
173,173,MOUSE,1491,MOUSE
174,174,MOUTH,674,MOUTH
175,175,NAME,1405,NAME
176,176,NEAR,1942,NEAR
177,177,NECK,1333,NECK
178,178,NEW,1231,NEW
179,179,NIGHT,1233,NIGHT
180,180,NINE,1483,NINE
181,181,NOBLE,482,NOBLE
182,182,NOSE,1221,NOSE
183,183,NOW,1376,NOW
184,184,NURSE,1104,NURSE
185,185,OLD,1229,OLD
186,186,ONE,1493,ONE
187,187,ONION,2366,ONION
188,188,OPEN,1156,OPEN
189,189,ORPHAN,1149,ORPHAN
190,190,PATH OR ROAD,2457,PATH OR ROAD
191,191,PENIS,1222,PENIS
192,192,PERSON,683,PERSON
193,193,PESTLE,225,PESTLE
194,194,PICK,2148,PICK
195,195,PIG,1337,PIG
196,196,PISS,592,PISS
197,197,PLACE (POSITION),723,PLACE (POSITION)
198,198,POCKET,1851,POCKET
199,199,PRICE,657,PRICE
200,200,PULL,1455,PULL
201,201,PUMPKIN,864,PUMPKIN
202,202,PUSH,1452,PUSH
203,203,RAIN (PRECIPITATION),658,RAIN (PRECIPITATION)
204,204,RAW,1959,RAW
205,205,RED,156,RED
206,206,RIB,801,RIB
207,207,RIGHT,1019,RIGHT
208,208,RIVER,666,RIVER
209,209,ROOF,769,ROOF
210,210,ROOT,670,ROOT
211,211,ROTTEN,1728,ROTTEN
212,212,ROUGH,1923,ROUGH
213,213,RUN,1519,RUN
214,214,SALT,1274,SALT
215,215,SAND,671,SAND
216,216,SAY,1458,SAY
217,217,SCALE,266,SCALE
218,218,SEE,1409,SEE
219,219,SELL,1571,SELL
220,220,SEND,1127,SEND
221,221,SEVEN,1704,SEVEN
222,222,SEW,1457,SEW
223,223,SHARP,1396,SHARP
224,224,SHEEP,1331,SHEEP
225,225,SHIT (DEFECATE),676,SHIT (DEFECATE)
226,226,SHOE,1381,SHOE
227,227,SHORT,1645,SHORT
228,228,SHOW,1039,SHOW
229,229,SICKLE OR SCYTHE,2132,SICKLE OR SCYTHE
230,230,SIMILAR,1558,SIMILAR
231,231,SING,1261,SING
232,232,SIT,1416,SIT
233,233,SIX,1703,SIX
234,234,SKIN,763,SKIN
235,235,SKY,1732,SKY
236,236,SLAVE,812,SLAVE
237,237,SLEEP,1585,SLEEP
238,238,SLIP,1324,SLIP
239,239,SMALL,1246,SMALL
240,240,SMOKE,,SMOKE
241,241,SMOOTH,1234,SMOOTH
242,242,SNAKE,730,SNAKE
243,243,SOAP,788,SOAP
244,244,SONG,1096,SONG
245,245,SPEAR,945,SPEAR
246,246,SPIN,121,SPIN
247,247,SPIRIT,53,SPIRIT
248,248,SPIT,1440,SPIT
249,249,SPRING OR WELL,2144,SPRING OR WELL
250,250,STAR,1430,STAR
251,251,STEAL,713,STEAL
252,252,STOMACH,819,STOMACH
253,253,STRIKE OR BEAT,2133,STRIKE OR BEAT
254,254,SUCK,1421,SUCK
255,255,SUN,1343,SUN
256,256,SWALLOW,897,SWALLOW
257,257,SWEEP,230,SWEEP
258,258,SWEET,717,SWEET
259,259,SWIM,1439,SWIM
260,260,TAIL,1220,TAIL
261,261,TALK,2708,TALK
262,262,TEN,1515,TEN
263,263,TESTICLES,797,TESTICLES
264,264,THIGH,800,THIGH
265,265,THING,738,THING
266,266,THINK,2271,THINK
267,267,THORN,124,THORN
268,268,THREE,492,THREE
269,269,THROAT,1346,THROAT
270,270,THROW,1456,THROW
271,271,TIE,1917,TIE
272,272,TOMORROW,1329,TOMORROW
273,273,TONGS,272,TONGS
274,274,TONGUE,1205,TONGUE
275,275,TOOTH,1380,TOOTH
276,276,TOUCH,1892,TOUCH
277,277,TRAP (PITFALL),1075,TRAP (PITFALL)
278,278,TRAVERSE,1742,TRAVERSE
279,279,TREE,906,TREE
280,280,TWENTY,1710,TWENTY
281,281,TWO,1498,TWO
282,282,URINE,1142,URINE
283,283,VAGINA,1836,VAGINA
284,284,VILLAGE,930,VILLAGE
285,285,WALL (OF HOUSE),933,WALL (OF HOUSE)
286,286,WATER,948,WATER
287,287,WEAVE,133,WEAVE
288,288,WEEK,1469,WEEK
289,289,WET,1726,WET
290,290,WHITE,1335,WHITE
291,291,WIFE,1199,WIFE
292,292,WIND,960,WIND
293,293,WING,1257,WING
294,294,WOMAN,962,WOMAN
295,295,WOOD,1803,WOOD
296,296,WORK (LABOUR),984,WORK (LABOUR)
297,297,WORLD,965,WORLD
298,298,WRAPPER,462,WRAPPER
299,299,YEAR,1226,YEAR
300,300,YELLOW,1424,YELLOW
301,301,BLUNT,379,BLUNT
302,1408,HEAR,1408,HEAR
